Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Species,Size,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Damselfish,0-5,170,356,526,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Damselfish,5-10,60,25,85,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Damselfish,10-15,20,1,21,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Anthias,5-10,10,0,10,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Butterflyfish,0-5,4,1,5,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Butterflyfish,5-10,3,2,5,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Butterflyfish,10-15,2,1,3,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Angelfish - Other,5-10,0,1,1,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Angelfish - Other,15-20,0,1,1,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Angelfish - Bicolor,10-15,2,0,2,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Angelfish - Keyhole,0-5,0,1,1,1,67765696ba04f3616f6e85f2
Pierre Pericard,Dan Tarry,2025-01-02 09:15:00,Maluay Malatapay MPA,1,Deep,28,12,0,Angelfish - Keyhole,10-15,2,0,2,1,67765696ba04f3616f6e85f2
